id,avatar,avatarLastChangedAt,bonus,bonusLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,lobbyTimerGameID,lobbyTimerGameIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,name,nameLastChangedAt,nameColor,nameColorLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,partner,partnerLastChangedAt,replayGameReadyCheck,replayGameReadyCheckLastChangedAt,role,roleLastChangedAt,score,scoreLastChangedAt,src,srcLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01JK4JHCCPDJP4AE98TKDHMDYH,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-02-03T00:18:42.92155415Z,1.860000,2025-02-03T00:36:48.756044945Z,game ended,2025-02-03T00:36:48.773602885Z,true,2025-02-03T00:38:00.82042487Z,"{""age"":""24"",""gender"":""Male"",""strategy"":""Learn each others descriptions then simplify"",""enjoy"":""Yes, it was fun simplifying our descriptions and working together"",""feedback"":""Easy to play and navigate"",""education"":""high-school""}",2025-02-03T00:38:00.817045673Z,01JK4H0V6VD5AZR3C6BXT8MZH2,2025-02-03T00:14:34.907350393Z,2,2025-02-03T00:14:48.179640146Z,true,2025-02-03T00:17:41.262996889Z,01JK4H0V6VD5AZR3C6BXT8MZH2,2025-02-03T00:17:41.269132856Z,01JK4JQ2CJP504PKJE6YTHDK5X,2025-02-03T00:17:41.269132856Z,Repi,2025-02-03T00:18:42.92155415Z,#29828D,2025-02-03T00:18:42.92155415Z,01JK4JHBHPEPB810W6GWKJ7ZHX,2025-02-03T00:14:34.902089313Z,677ba20f661b72b390923c44,2025-02-03T00:14:34.902089313Z,01JK4JHQG80WTCSNF66R2WNRZM,2025-02-03T00:18:42.92155415Z,,,director,2025-02-03T00:36:35.022450691Z,1.860000,2025-02-03T00:36:48.756044945Z,/avatars/blue.png,2025-02-03T00:18:42.92155415Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-02-03T00:14:34.907350393Z,full-comp-within,2025-02-03T00:14:34.907350393Z,"{""participantKey"":""677ba20f661b72b390923c44"",""STUDY_ID"":""679fd285c8a8e0a3869c5858"",""SESSION_ID"":""67a00a529f3aa2ed1e603c3f""}",2025-02-03T00:14:35.325443908Z
01JK4JHQG80WTCSNF66R2WNRZM,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-02-03T00:18:42.92155415Z,1.860000,2025-02-03T00:36:48.756044945Z,game ended,2025-02-03T00:36:48.773602885Z,true,2025-02-03T00:37:38.526861562Z,"{""age"":""21"",""gender"":""male"",""strategy"":""Just to optimize our explanations. "",""enjoy"":""I really enjoyed it as we both had the same strategy. "",""feedback"":"""",""education"":""high-school""}",2025-02-03T00:37:38.528202759Z,01JK4H0V6VD5AZR3C6BXT8MZH2,2025-02-03T00:14:46.284193377Z,2,2025-02-03T00:16:58.584363455Z,true,2025-02-03T00:18:42.755659613Z,01JK4H0V6VD5AZR3C6BXT8MZH2,2025-02-03T00:18:42.77112239Z,01JK4JRYEG8R23K6W8BKGHPEVK,2025-02-03T00:18:42.77112239Z,Minu,2025-02-03T00:18:42.92155415Z,#444EA1,2025-02-03T00:18:42.92155415Z,01JK4JHQD64DY95GEDZ92DN1DE,2025-02-03T00:14:46.280062933Z,63dd3dd2593c92be97d8dbde,2025-02-03T00:14:46.280062933Z,01JK4JHCCPDJP4AE98TKDHMDYH,2025-02-03T00:18:42.92155415Z,,,matcher,2025-02-03T00:36:35.022450691Z,1.860000,2025-02-03T00:36:48.756044945Z,/avatars/red.png,2025-02-03T00:18:42.92155415Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-02-03T00:14:46.284193377Z,full-comp-within,2025-02-03T00:14:46.284193377Z,"{""participantKey"":""63dd3dd2593c92be97d8dbde"",""STUDY_ID"":""679fd285c8a8e0a3869c5858"",""SESSION_ID"":""67a00a69fe9f5dc0accdff9c""}",2025-02-03T00:14:46.342203002Z
01JK4K4XQJMAP5JV93WNB1M8AE,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-02-03T00:28:20.245582655Z,0,2025-02-03T00:28:20.245582655Z,game ended,2025-02-03T00:33:37.666402755Z,true,2025-02-03T00:35:48.041966463Z,"{""age"":""42"",""gender"":""Male"",""strategy"":""complex"",""enjoy"":""No, they were unresponsive "",""feedback"":""N/A"",""education"":""bachelor""}",2025-02-03T00:35:48.040445716Z,01JK4K1J4ESMAQ8APEQ0QZX73M,2025-02-03T00:25:15.256654196Z,2,2025-02-03T00:27:26.231667733Z,true,2025-02-03T00:28:11.067164186Z,01JK4K1J4ESMAQ8APEQ0QZX73M,2025-02-03T00:28:11.072535148Z,01JK4KA9DYDTDPFBS6TZZ0QD9S,2025-02-03T00:28:11.072535148Z,Minu,2025-02-03T00:28:20.245582655Z,#444EA1,2025-02-03T00:28:20.245582655Z,01JK4K4XGAYEF3G8D71P92GBGC,2025-02-03T00:25:15.251008226Z,677c2511d4cf1ad7cfb66211,2025-02-03T00:25:15.251008226Z,01JK4J768Q3V1780BCAP3BWH4K,2025-02-03T00:28:20.245582655Z,,,director,2025-02-03T00:32:34.604108529Z,0,2025-02-03T00:28:20.245582655Z,/avatars/red.png,2025-02-03T00:28:20.245582655Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-02-03T00:25:15.256654196Z,full-comp-within,2025-02-03T00:25:15.256654196Z,"{""participantKey"":""677c2511d4cf1ad7cfb66211"",""STUDY_ID"":""679fd285c8a8e0a3869c5858"",""SESSION_ID"":""67a00cc12ae10292e023b87b""}",2025-02-03T00:25:15.382589092Z
01JK4HAWQP0Z99ZX615X593EWT,,,,,null,2025-02-03T00:29:24.479344389Z,true,2025-02-03T00:00:21.153823781Z,"{""gamefailed"":""nogame""}",2025-02-03T00:00:21.069355222Z,01JK4KSPE6E60QZSVKEG63809V,2025-02-03T00:38:24.914806722Z,2,2025-02-02T23:55:03.589369798Z,null,2025-02-03T00:01:46.577675879Z,01JK4H0V6VD5AZR3C6BXT8MZH2,2025-02-02T23:57:07.066136289Z,01JK4HHD3QHBZ2NE9ZF0K4RE8G,2025-02-02T23:57:07.066136289Z,,,,,01JK4HAWCZVXJ5BBFJGN9AFBHS,2025-02-02T23:53:33.686544286Z,64d53aae0f3f7317f6eb617e,2025-02-02T23:53:33.686544286Z,,,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-02-03T00:01:46.582323359Z,full-comp-within,2025-02-03T00:01:46.582323359Z,"{""participantKey"":""64d53aae0f3f7317f6eb617e"",""STUDY_ID"":""679fd285c8a8e0a3869c5858"",""SESSION_ID"":""67a00565c0f6875e5743c416""}",2025-02-02T23:53:33.859343491Z
01JK4HR57C040377HC6MYY927Z,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-02-03T00:21:45.349172927Z,0,2025-02-03T00:21:45.349172927Z,null,2025-02-03T00:27:55.587582221Z,true,2025-02-03T00:08:11.353162325Z,"{""gamefailed"":""nogame""}",2025-02-03T00:08:11.34417538Z,01JK4KSPE6E60QZSVKEG63809V,2025-02-03T00:38:24.914806722Z,2,2025-02-03T00:03:35.094136592Z,null,2025-02-03T00:27:55.587582221Z,01JK4H0V6VD5AZR3C6BXT8MZH2,2025-02-03T00:04:51.818016457Z,01JK4HZJZ75NE34YQ1ZWV5HJGJ,2025-02-03T00:04:51.818016457Z,Repi,2025-02-03T00:21:45.349172927Z,#29828D,2025-02-03T00:21:45.349172927Z,01JK4HR50WY1N4P9KSA59F63WM,2025-02-03T00:00:48.364730436Z,671553eab4731f1988663441,2025-02-03T00:00:48.364730436Z,01JK4J768Q3V1780BCAP3BWH4K,2025-02-03T00:21:45.349172927Z,false,2025-02-03T00:18:43.416577914Z,matcher,2025-02-03T00:25:59.382888045Z,0,2025-02-03T00:21:45.349172927Z,/avatars/blue.png,2025-02-03T00:21:45.349172927Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-02-03T00:29:24.479344389Z,full-comp-within,2025-02-03T00:29:24.479344389Z,"{""participantKey"":""671553eab4731f1988663441"",""STUDY_ID"":""679fd285c8a8e0a3869c5858"",""SESSION_ID"":""67a006fcf13558a0c83763a3""}",2025-02-03T00:00:48.482091047Z
01JK4J34PF80APMYNDM1HH6GGN,,,,,null,2025-02-03T00:29:24.479344389Z,,,,,01JK4KSPE6E60QZSVKEG63809V,2025-02-03T00:38:24.914806722Z,2,2025-02-03T00:07:55.219574775Z,,,,,,,,,,,01JK4J34DPCJS46S0HN3W6ZC33,2025-02-03T00:06:48.271344656Z,660ea3da676d777f83383aab,2025-02-03T00:06:48.271344656Z,,,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-02-03T00:06:48.276607564Z,full-comp-within,2025-02-03T00:06:48.276607564Z,"{""participantKey"":""660ea3da676d777f83383aab"",""STUDY_ID"":""679fd285c8a8e0a3869c5858"",""SESSION_ID"":""67a0087cc8a8e0a3869c60be""}",2025-02-03T00:06:48.423201605Z
01JK4JXWY8R1BH6B72W8M0WNYP,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-02-03T00:38:25.060839581Z,1.470000,2025-02-03T01:26:25.495171604Z,game ended,2025-02-03T01:26:25.513078029Z,true,2025-02-03T00:22:49.212269998Z,"{""gamefailed"":""nogame""}",2025-02-03T00:22:49.200624954Z,01JK4KCG91Y658MZF9HV6KKWGD,2025-02-03T00:29:24.479344389Z,2,2025-02-03T00:33:52.219995615Z,true,2025-02-03T00:38:24.901813064Z,01JK4KCG91Y658MZF9HV6KKWGD,2025-02-03T00:38:24.921679265Z,01JK4KX0WQMR4TEEAP6DHY61YK,2025-02-03T00:38:24.921679265Z,Repi,2025-02-03T00:38:25.060839581Z,#29828D,2025-02-03T00:38:25.060839581Z,01JK4JXWPFYS4TWNVSN90JC5MD,2025-02-03T00:21:25.064709802Z,671736b13de114a142238632,2025-02-03T00:21:25.064709802Z,01JK4KGGE04Y117DR421HYRH22,2025-02-03T00:38:25.060839581Z,,,director,2025-02-03T01:25:57.24364333Z,1.470000,2025-02-03T01:26:25.495171604Z,/avatars/blue.png,2025-02-03T00:38:25.060839581Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-02-03T00:21:25.070887385Z,full-comp-within,2025-02-03T00:21:25.070887385Z,"{""participantKey"":""671736b13de114a142238632"",""STUDY_ID"":""679fd285c8a8e0a3869c5858"",""SESSION_ID"":""67a00bc74d0f9a17d29ea37c""}",2025-02-03T00:21:25.208012439Z
01JK4M0YDXCPCTJP2NYQ7J4CG4,,,,,lobby timed out,2025-02-03T00:55:24.953683586Z,true,2025-02-03T00:57:08.560013172Z,"{""gamefailed"":""nogame""}",2025-02-03T00:57:08.40431941Z,01JK4KSPE6E60QZSVKEG63809V,2025-02-03T00:40:33.476110734Z,2,2025-02-03T00:41:31.251771585Z,true,2025-02-03T00:52:24.942298798Z,01JK4KSPE6E60QZSVKEG63809V,2025-02-03T00:52:24.950388344Z,01JK4MPN7MJKJARQNVY30HEGFM,2025-02-03T00:52:24.950388344Z,,,,,01JK4M0XSEMAYVH13HD581GW7N,2025-02-03T00:40:33.469287352Z,67450332cf48b0c68abf0c16,2025-02-03T00:40:33.469287352Z,,,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-02-03T00:40:33.476110734Z,full-comp-within,2025-02-03T00:40:33.476110734Z,"{""participantKey"":""67450332cf48b0c68abf0c16"",""STUDY_ID"":""679fd285c8a8e0a3869c5858"",""SESSION_ID"":""67a0103d6703263ecf601eb7""}",2025-02-03T00:40:33.817225792Z
01JK4H6MQYXBAG9D83WE9866ZD,,,,,null,2025-02-03T00:29:24.479344389Z,true,2025-02-02T23:55:37.061246779Z,"{""gamefailed"":""nogame""}",2025-02-02T23:55:37.055225632Z,01JK4KSPE6E60QZSVKEG63809V,2025-02-03T00:38:24.914806722Z,2,2025-02-02T23:51:58.00622319Z,null,2025-02-03T00:01:47.213487639Z,01JK4H0V6VD5AZR3C6BXT8MZH2,2025-02-02T23:52:24.987167088Z,01JK4H8SMQMNK5JYB4QTFRCTWR,2025-02-02T23:52:24.987167088Z,,,,,01JK4H6M3HSFAY4HMDC106DHFY,2025-02-02T23:51:14.43034884Z,65b9040092404ebf54f1f3e2,2025-02-02T23:51:14.43034884Z,,,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-02-03T00:23:26.01672688Z,full-comp-within,2025-02-03T00:23:26.01672688Z,"{""participantKey"":""65b9040092404ebf54f1f3e2"",""STUDY_ID"":""679fd285c8a8e0a3869c5858"",""SESSION_ID"":""67a004e19069bc369678ef45""}",2025-02-02T23:51:14.758054296Z
01JK4JFN4Q1GEZ0DA9ENTTBEJT,,,,,null,2025-02-03T00:29:24.479344389Z,true,2025-02-03T00:21:47.359919546Z,"{""gamefailed"":""nogame""}",2025-02-03T00:21:47.349911554Z,01JK4KSPE6E60QZSVKEG63809V,2025-02-03T00:38:24.914806722Z,1,2025-02-03T00:16:30.409933916Z,,,,,,,,,,,01JK4JFMHKKNSJ72RG6W8TFDT6,2025-02-03T00:13:38.327430864Z,609eda349f5d29975fbc2145,2025-02-03T00:13:38.327430864Z,,,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-02-03T00:13:38.331707521Z,full-comp-within,2025-02-03T00:13:38.331707521Z,"{""participantKey"":""609eda349f5d29975fbc2145"",""STUDY_ID"":""679fd285c8a8e0a3869c5858"",""SESSION_ID"":""67a009fa77e97e747b69510a""}",2025-02-03T00:13:38.649459072Z
